cod_municipio,nombre_municipio,nombre_departamento,cluster,cluster_nombre,total_atenciones,n_registros,pct_no_def,log_total_atenciones,ratio_consultas_proced,pct_CONSULTAS,pct_HOSPITALIZACIONES,pct_PROCEDIMIENTOS DE SALUD,pct_URGENCIAS
73616,RIOBLANCO,Tolima,1,Alta carga NO DEFINIDO,559763.0,12090.0,67.79,5.748004188472961,0.3644756786550915,26.45,0.74,72.56,0.25
73622,RONCESVALLES,Tolima,2,Perfil quirúrgico medio,86000.0,6573.0,31.33,4.934498451243568,1.0758824772775313,50.9,1.29,47.3,0.51
73624,ROVIRA,Tolima,2,Perfil quirúrgico medio,623796.0,20496.0,41.57,5.795042585580635,0.759656652360515,42.48,0.87,55.91,0.74
73671,SALDAÑA,Tolima,1,Alta carga NO DEFINIDO,357233.0,15136.0,41.28,5.552951570753811,0.4318516337945245,29.34,0.81,67.93,1.92
73675,SAN ANTONIO,Tolima,1,Alta carga NO DEFINIDO,305083.0,11396.0,52.79,5.484418008324516,0.5659744408945687,35.43,1.38,62.59,0.6
73678,SAN LUIS,Tolima,2,Perfil quirúrgico medio,302784.0,13940.0,32.29,5.481132922032453,0.623560381704508,37.9,0.73,60.77,0.6
73686,SANTA ISABEL,Tolima,1,Alta carga NO DEFINIDO,160343.0,9005.0,48.08,5.205050004939661,0.524732516669251,33.84,0.83,64.48,0.85
73770,SUAREZ,Tolima,2,Perfil quirúrgico medio,122655.0,9191.0,22.2,5.0886852568077865,0.7397950008991189,41.14,0.71,55.6,2.54
73854,VALLE DE SAN JUAN,Tolima,4,Perfil quirúrgico con buen registro,151067.0,8588.0,23.45,5.179169604755022,0.4343331391962725,29.83,0.85,68.67,0.64
73861,VENADILLO,Tolima,1,Alta carga NO DEFINIDO,362061.0,14101.0,32.77,5.55878174658728,0.5116171718725957,33.25,0.91,64.98,0.86
73870,VILLAHERMOSA,Tolima,1,Alta carga NO DEFINIDO,263490.0,10426.0,55.28,5.420764137471791,0.600194868463787,36.96,0.67,61.57,0.8
73873,VILLARRICA,Tolima,2,Perfil quirúrgico medio,78041.0,7140.0,14.81,4.892322825710941,0.8442162371633405,43.57,1.41,51.6,3.43
